epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,384.07,1.82534,1.89097,1.97773,0.49637,0.47515,0.45489,0.18127,1.94699,1.88595,2.09423,0.00599176,0.00199725,0.00599176,0.00199725,0.00599176,0.00199725,0.00599176,0.00199725
2,759.352,1.71303,1.73454,1.86782,0.50139,0.45172,0.44491,0.18013,1.92899,1.90052,2.09219,0.0119888,0.00399628,0.0119888,0.00399628,0.0119888,0.00399628,0.0119888,0.00399628
3,1132.8,1.7016,1.73741,1.86318,0.47175,0.48019,0.45108,0.18221,1.93869,1.88541,2.11644,0.0179742,0.00599139,0.0179742,0.00599139,0.0179742,0.00599139,0.0179742,0.00599139
4,1512.31,1.728,1.81373,1.89345,0.43565,0.45974,0.41472,0.16834,1.91822,1.93614,2.08742,0.0239391,0.00797968,0.0239391,0.00797968,0.0239391,0.00797968,0.0239391,0.00797968
5,1890.46,1.77705,1.92571,1.93541,0.42571,0.4336,0.39185,0.15742,1.93481,2.0965,2.16011,0.0298747,0.00995823,0.0298747,0.00995823,0.0298747,0.00995823,0.0298747,0.00995823
6,2266,1.81419,2.03949,1.98434,0.47106,0.4078,0.39021,0.15127,1.95858,2.06102,2.15362,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,2644.23,1.81869,2.02464,1.98248,0.44643,0.42052,0.40263,0.16121,1.94003,2.00681,2.12214,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,3025.08,1.80477,2.0219,1.98495,0.44007,0.44562,0.40378,0.16418,1.9419,2.02322,2.11757,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,3400.79,1.79784,1.98587,1.96645,0.45183,0.4587,0.42231,0.17132,1.91227,1.96357,2.09972,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,3778.12,1.78871,1.97894,1.96261,0.48899,0.44927,0.42989,0.17595,1.92222,1.95529,2.10262,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,4157.33,1.7766,1.94213,1.95153,0.4574,0.4503,0.41466,0.16976,1.93344,1.96854,2.10835,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,4533.94,1.76919,1.93396,1.94333,0.4928,0.46574,0.43512,0.18111,1.89718,1.91807,2.07908,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,4915.27,1.76421,1.89526,1.9422,0.50183,0.47411,0.45425,0.18818,1.87836,1.89955,2.07728,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,5292.71,1.75788,1.89084,1.9409,0.51029,0.46445,0.46184,0.19464,1.89264,1.88041,2.08927,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,5669.74,1.74538,1.8642,1.91655,0.49476,0.47507,0.46663,0.19498,1.86891,1.85885,2.075,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,6046.81,1.7333,1.84448,1.91384,0.48322,0.46478,0.44704,0.19039,1.86646,1.87413,2.05975,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,6425.55,1.72979,1.8168,1.90322,0.4811,0.49854,0.46047,0.19313,1.90687,1.83136,2.08486,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,6803.67,1.73461,1.80259,1.90053,0.49315,0.49116,0.46847,0.19574,1.88614,1.82235,2.06105,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,7196.84,1.72024,1.78198,1.89255,0.49118,0.50837,0.48121,0.1996,1.90272,1.78794,2.06671,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,7581.6,1.71158,1.77534,1.88354,0.52701,0.49996,0.49177,0.20464,1.89873,1.78393,2.05748,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
